[2026-03-05 20:13:46] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: / | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-05 20:14:44] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: / | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-05 20:15:06] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: /add/ | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-05 20:15:38] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: POST | Path: /add/ | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-05 20:15:38] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: / | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje', 'messages': 'W1siX19qc29uX21lc3NhZ2UiLDAsMjUsIlRhc2sgYWRkZWQgc3VjY2Vzc2Z1bGx5IiwiIl1d:1vy9io:AK_9-ZUyvOueqSeLUvNavXiv0M8qlAzHpQWO_RcEYYY'}
[2026-03-14 09:19:36] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: / | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-14 09:19:36] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: /favicon.ico | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-14 09:19:42] User: Anonymous | SessionID: No Session | Method: GET | Path: /api/tasks/ | Cookies: {}
[2026-03-14 09:19:42] User: Anonymous | SessionID: No Session | Method: GET | Path: /api/tasks/ | Cookies: {}
[2026-03-14 09:21:28] User: subeshyadav3 | SessionID: h20aodglcxuy22ektdbpvpcngs4hqyje | Method: GET | Path: / | Cookies: {'csrftoken': '6Unuu8Jo4S9vFRJXb6rxA3g8q0B6JKRw', 'sessionid': 'h20aodglcxuy22ektdbpvpcngs4hqyje'}
[2026-03-14 09:21:29] User: Anonymous | SessionID: No Session | Method: GET | Path: /api/tasks/ | Cookies: {}
